5	125
160	83
24	41
64	125
9	83
9	41
9	83
1	83
8	83
5	83
17	291
1	166
8	83
4	41
1	41
8	583
4	125
1	125
8	166
5	125
1	83
8	125
5	125
1	125
8	125
5	125
20	83
3	125
1	125
8	125
5	458
3	166
20	125
48	166
48	125
9	125
12	125
9	125
12	166
1	0
8	0
4	83
1	83
8	41
4	41
64	208
64	83
88	166
10	0
1	83
8	83
4	41
1	41
8	41
6	41
1	41
8	41
4	41
20	83
18	83
18	83
36	41
32	41
1	83
8	83
35	83
36	125
1	83
8	41
4	41
1	83
8	41
4	41
1	41
8	41
4	41
1	41
8	41
4	41
20	83
12	41
24	41
15	41
20	83
12	41
24	41
15	41
20	41
20	83
1	83
8	41
16	0
32	41
29	41
1	41
8	41
4	41
1	41
8	83
4	41
20	41
1	41
8	41
16	41
32	83
18	83
20	83
1	41
8	41
16	41
17	41
20	41
1	83
8	83
16	41
20	83
20	41
18	41
18	83
36	41
32	41
32	41
64	41
49	41
1	83
8	83
5	41
1	83
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	83
8	41
5	41
1	0
8	41
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	83
8	83
5	41
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	41
8	41
5	41
1	83
8	41
5	41
1	41
8	41
5	41
1	83
8	41
5	41
1	83
8	41
5	41
1	41
8	41
5	41
1	41
8	83
5	0
1	41
8	125
5	41
1	83
8	41
5	41
11	83
3	41
11	41
2	0
18	0
11	0
11	83
11	83
11	125
64	1208
200	916
72	625
64	916
20	458
1	291
8	250
4	125
1	83
8	125
6	125
1	125
8	125
5	125
1	83
8	125
5	125
1	83
8	125
5	125
1	125
8	166
5	125
1	125
8	125
5	125
1	83
8	125
5	125
1	125
8	125
5	333
1	83
8	41
5	83
1	41
8	41
5	41
1	41
8	41
5	41
1	41
8	83
5	41
1	125
8	41
5	41
1	83
8	41
6	0
1	41
8	41
5	0
1	83
8	41
5	291
1	41
8	41
5	41
1	83
8	41
5	41
1	41
8	41
5	83
11	41
3	41
11	83
11	0
64	166
64	41
64	83
64	83
832	166
64	41
64	41
64	41
32	41
48	41
96	83
768	750
1096	875
11600	83
1120	291
40	458
32	208
40	83
24	125
32	41
24	41
32	41
200	375
200	41
24	375
32	83
24	125
32	83
14	41
14	41
14	41
14	0
365	41
6	83
5	83
128	125
3	0
1	83
200	333
32	83
304	583
32	41
304	83
304	83
304	41
304	41
64	125
304	125
304	125
304	83
304	83
128	83
304	83
304	1375
304	83
304	125
304	0
304	41
304	83
304	83
256	250
304	83
304	83
304	83
304	541
304	166
304	83
304	125
304	83
304	83
304	83
304	83
304	125
304	83
200	250
200	83
24	0
24	0
32	41
14	41
14	41
14	41
14	41
365	208
8	250
8	208
8	83
10	41
9	41
9	208
128	416
128	83
5	41
192	333
4	41
2	41
128	83
3	83
11	83
200	375
304	708
304	83
304	666
512	833
304	125
304	41
304	125
304	83
304	83
304	83
304	125
304	41
304	125
304	125
304	83
304	83
304	125
304	83
304	83
304	83
304	83
304	375
304	125
304	41
304	125
304	83
304	83
304	125
304	83
304	83
304	125
200	125
200	41
24	41
64	83
24	83
32	41
14	41
14	41
14	41
14	41
365	41
4	41
4	41
4	41
10	83
9	41
9	41
